D D D D D D D D D D D D D D D D D D D D D D D D D D D
W W W W W W W W W W W W W W W W W W W W W W W W W W W
W c c c c c c c c c c c c W c c c c c c c c c c c c W
W c W W W W c W W W W W c W c W W W W W c W W W W c W
W e W P P W c W P P P W c W c W P P P W c W P P W e W
W c W W W W c W W W W W c W c W W W W W c W W W W c W
W c c c c c c c c c c c c c c c c c c c c c c c c c W
W c W W W W c W c W W W W W W W W W c W c W W W W c W
W c c c c c c W c c c c c W c c c c c W c c c c c c W
W W W W W W c W W W W W P W P W W W W W c W W W W W W
P P P P P W c W P P P P P P P P P P P W c W P P P P P
W W W W W W c W P W P P P P P P P W P W c W W W W W W
W P P P P P c P P W P P g g g P P W P P c P P P P P W
W W W W W W c W P W W W W W W W W W P W c W W W W W W
P P P P P W c W P P P P P F P P P P P W c W P P P P P
W W W W W W c W P W W W W W W W W W P W c W W W W W W
W c c c c c c c c c c c c W c c c c c c c c c c c c W
W c W W W W c W W W W W c W c W W W W W c W W W W c W
W e c c c W c c c c c c c p c c c c c c c W c c c e W
W W W W c W c W c W W W W W W W W W c W c W c W W W W
W c c c c c c W c c c c c W c c c c c W c c c c c c W
W c W W W W W W W W W W c W c W W W W W W W W W W c W
W c c c c c c c c c c c c c c c c c c c c c c c c c W
W W W W W W W W W W W W W W W W W W W W W W W W W W W
